frame,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_confidence,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence
1,0.4555893540382385,0.46131986379623413,0.005918033886700869,0.999722421169281,0.4536382555961609,0.45393750071525574,-0.006325309164822102,0.9996071457862854,0.4540565609931946,0.4524388313293457,-0.006432509981095791,0.9995521903038025,0.4544965326786041,0.45112478733062744,-0.006392268929630518,0.9997467398643494,0.4534326493740082,0.45491018891334534,0.012535694055259228,0.9997147917747498,0.4536965489387512,0.4540913999080658,0.01240000780671835,0.9997389912605286,0.4539104104042053,0.45337003469467163,0.012356404215097427,0.9998279809951782,0.4592525064945221,0.44287097454071045,-0.044416394084692,0.9997027516365051,0.4584487974643707,0.44530901312828064,0.04091646894812584,0.9993516802787781,0.46071377396583557,0.4600347876548767,-0.005542289465665817,0.9996821880340576,0.4607082009315491,0.4617992043495178,0.01834716647863388,0.9994947910308838,0.47681981325149536,0.4642377495765686,-0.10030589997768402,0.999992847442627,0.4783984124660492,0.46375975012779236,0.10187337547540665,0.9998828172683716,0.4837130606174469,0.5252536535263062,-0.13292761147022247,0.9459114670753479,0.48868924379348755,0.5200322866439819,0.11854120343923569,0.005391065962612629,0.4806543290615082,0.5800204873085022,-0.1115432009100914,0.6662898659706116,0.4857720732688904,0.5741334557533264,0.05974884703755379,0.016479624435305595,0.4803844392299652,0.5941470265388489,-0.1259818971157074,0.5356112718582153,0.48657122254371643,0.5856377482414246,0.05665399879217148,0.02081276848912239,0.4789019227027893,0.5948724150657654,-0.11934878677129745,0.5088092684745789,0.48327770829200745,0.5896909832954407,0.040275052189826965,0.022133976221084595,0.47958144545555115,0.5902165174484253,-0.10714449733495712,0.36718374490737915,0.4845861494541168,0.5856939554214478,0.05012362077832222,0.02324667200446129,0.5082701444625854,0.5492404699325562,-0.05989789217710495,0.9998875856399536,0.509719967842102,0.544854462146759,0.059837453067302704,0.9998598098754883,0.4894465506076813,0.6388112306594849,-0.05584900826215744,0.46683746576309204,0.4884146749973297,0.6347001791000366,0.03447825834155083,0.024758316576480865,0.489039808511734,0.7378250360488892,-0.057852596044540405,0.4750385582447052,0.4890323281288147,0.732262909412384,0.042158473283052444,0.039394672960042953,0.4958159327507019,0.760534405708313,-0.06054193526506424,0.4397561848163605,0.4954760670661926,0.7548853754997253,0.04119941219687462,0.09921524673700333,0.4640170633792877,0.764196515083313,-0.10281930863857269,0.4427465796470642,0.4666561186313629,0.760533332824707,0.008360017091035843,0.06743890792131424
2,0.45576363801956177,0.4617721140384674,-0.027620336040854454,0.9997320771217346,0.45373067259788513,0.4547104835510254,-0.0400698259472847,0.9996221661567688,0.4540964663028717,0.4534046947956085,-0.040172029286623,0.9995692372322083,0.4544967710971832,0.45229652523994446,-0.040131449699401855,0.9997568726539612,0.45365747809410095,0.45512500405311584,-0.024536360055208206,0.9997230172157288,0.45393839478492737,0.45416784286499023,-0.024651536718010902,0.9997450709342957,0.454163134098053,0.45337072014808655,-0.024688933044672012,0.9998312592506409,0.4589458405971527,0.4438716173171997,-0.07312949001789093,0.9997166991233826,0.4584518074989319,0.4452490508556366,-0.0028675466310232878,0.9993641376495361,0.4607289433479309,0.46132853627204895,-0.036278337240219116,0.9996889233589172,0.4607357382774353,0.46188849210739136,-0.016685018315911293,0.99949711561203,0.4766941964626312,0.4651779234409332,-0.11290325969457626,0.999993085861206,0.4792005121707916,0.4637448489665985,0.05658543109893799,0.999877393245697,0.4842921197414398,0.5279092788696289,-0.13318857550621033,0.9485810399055481,0.489091157913208,0.5209200382232666,0.07652385532855988,0.005096056032925844,0.480601966381073,0.581484854221344,-0.11151941120624542,0.6840695738792419,0.48739093542099,0.5741333961486816,0.03739257901906967,0.015377035364508629,0.4803427755832672,0.5960469841957092,-0.1255001574754715,0.5565411448478699,0.4871149957180023,0.5849393606185913,0.034910932183265686,0.019587529823184013,0.47884947061538696,0.5965967178344727,-0.11992697417736053,0.5314499735832214,0.4852524399757385,0.5885912775993347,0.020522333681583405,0.020835351198911667,0.4794784486293793,0.5915971994400024,-0.10749422013759613,0.38976380228996277,0.485442578792572,0.5846846103668213,0.02942032739520073,0.02184295654296875,0.5038977861404419,0.5630497932434082,-0.05287458375096321,0.9998920559883118,0.5075246691703796,0.5577762126922607,0.05285235121846199,0.9998616576194763,0.48955267667770386,0.6485857963562012,-0.0165923573076725,0.48021557927131653,0.4884186387062073,0.6422032117843628,0.07289943844079971,0.02459522895514965,0.48901405930519104,0.7418132424354553,0.010771290399134159,0.5082434415817261,0.4881264269351959,0.7326722145080566,0.10847518593072891,0.045231737196445465,0.49529895186424255,0.7608731389045715,0.010943066328763962,0.46801891922950745,0.49342432618141174,0.7533181309700012,0.11022820323705673,0.10799852013587952,0.4648204445838928,0.7650272846221924,-0.030362853780388832,0.47826704382896423,0.4664227068424225,0.7591075301170349,0.0786064863204956,0.0797920674085617
3,0.45581936836242676,0.46201393008232117,-0.04506566375494003,0.9997460246086121,0.4537532329559326,0.45505768060684204,-0.05734718590974808,0.9996455907821655,0.45409637689590454,0.4538663327693939,-0.05745405703783035,0.9995959997177124,0.4544583261013031,0.452847421169281,-0.05741084739565849,0.9997721910476685,0.4537617266178131,0.45519137382507324,-0.04203758388757706,0.9997369647026062,0.4540473520755768,0.45417895913124084,-0.04214989393949509,0.9997562766075134,0.4542813301086426,0.4533545672893524,-0.042186882346868515,0.9998379945755005,0.45860496163368225,0.4447828531265259,-0.08756615221500397,0.9997353553771973,0.45844775438308716,0.4452751874923706,-0.018244480714201927,0.9993860125541687,0.46070796251296997,0.46196046471595764,-0.05247650295495987,0.9997020959854126,0.4607357978820801,0.46194028854370117,-0.033153656870126724,0.9995070099830627,0.4767078459262848,0.46759888529777527,-0.12312842905521393,0.9999933838844299,0.4794906675815582,0.46405020356178284,0.04386787861585617,0.9998707175254822,0.4843704104423523,0.5309029221534729,-0.13850776851177216,0.950901448726654,0.4898037910461426,0.5244429111480713,0.06590338796377182,0.004786591976881027,0.480567991733551,0.5832870006561279,-0.11715978384017944,0.7008360028266907,0.48797816038131714,0.5751625895500183,0.028185278177261353,0.014361940324306488,0.4803367555141449,0.5978003740310669,-0.13071244955062866,0.5755255222320557,0.4874851703643799,0.5864006876945496,0.02502388320863247,0.018451271578669548,0.47880345582962036,0.598246157169342,-0.1274525225162506,0.552023708820343,0.48562973737716675,0.5886078476905823,0.0105870570987463,0.01963026449084282,0.4793916642665863,0.5932852625846863,-0.11431308090686798,0.4096325635910034,0.48556727170944214,0.584699273109436,0.02016761712729931,0.020517658442258835,0.5017622709274292,0.5738033056259155,-0.05108187720179558,0.9998980760574341,0.5040453672409058,0.5680042505264282,0.05106966942548752,0.9998661279678345,0.4894154965877533,0.6534238457679749,0.004312685690820217,0.49380192160606384,0.488208532333374,0.6448057293891907,0.09386610984802246,0.025876149535179138,0.48900189995765686,0.7419688105583191,0.0521421916782856,0.5403487682342529,0.48779457807540894,0.7311716079711914,0.15092791616916656,0.05635884776711464,0.49490252137184143,0.7602679133415222,0.05433395504951477,0.49064379930496216,0.49209529161453247,0.7484980225563049,0.15497100353240967,0.12252177298069,0.4657462239265442,0.7650424242019653,0.013039459474384785,0.5119022130966187,0.4666261076927185,0.7567222714424133,0.12469383329153061,0.1000702977180481
4,0.4558172821998596,0.46290481090545654,-0.058913491666316986,0.999768078327179,0.45370379090309143,0.45600154995918274,-0.07109034061431885,0.9996775388717651,0.45399993658065796,0.45479637384414673,-0.0711926594376564,0.9996325373649597,0.4542788863182068,0.453752726316452,-0.07115927338600159,0.9997928738594055,0.45373958349227905,0.45615866780281067,-0.05472176522016525,0.9997596144676208,0.4540145993232727,0.45513999462127686,-0.054826755076646805,0.9997765421867371,0.45423072576522827,0.4542486369609833,-0.05486282706260681,0.9998511075973511,0.4583289623260498,0.4452008903026581,-0.0993766039609909,0.9997596740722656,0.45826125144958496,0.4456181526184082,-0.025130536407232285,0.9994332194328308,0.46059975028038025,0.4626907408237457,-0.06563837826251984,0.9997267127037048,0.4606841206550598,0.46261894702911377,-0.04491329938173294,0.9995426535606384,0.47671547532081604,0.4689910411834717,-0.13472485542297363,0.9999938607215881,0.48000797629356384,0.4640686511993408,0.04006747901439667,0.9998717904090881,0.4843796193599701,0.531169056892395,-0.15411660075187683,0.9546453356742859,0.48996782302856445,0.525902271270752,0.060248058289289474,0.004547571297734976,0.4805411398410797,0.5838501453399658,-0.13338525593280792,0.7224963903427124,0.4881563186645508,0.5754650831222534,0.017956722527742386,0.013456085696816444,0.4803307056427002,0.5983535647392273,-0.1469600945711136,0.6013926267623901,0.4875449538230896,0.5872201919555664,0.01440440583974123,0.017432566732168198,0.47880610823631287,0.598676323890686,-0.14416274428367615,0.5795072913169861,0.4856155514717102,0.5890198349952698,-0.00022269258624874055,0.01854516938328743,0.4793883264064789,0.5937325954437256,-0.13068538904190063,0.43924957513809204,0.4857081472873688,0.5848597884178162,0.009656542912125587,0.019348954781889915,0.49993324279785156,0.5765460133552551,-0.05224505811929703,0.9999055862426758,0.5013642907142639,0.570996880531311,0.05223122239112854,0.9998737573623657,0.4890372157096863,0.6568949222564697,-0.012333369813859463,0.5299636125564575,0.48805221915245056,0.6505177021026611,0.08957753330469131,0.03143458068370819,0.4889192581176758,0.7430514693260193,0.028045058250427246,0.5800293684005737,0.48651689291000366,0.7318270206451416,0.13966460525989532,0.08052243292331696,0.4947473406791687,0.7602717280387878,0.029428323730826378,0.5267140865325928,0.4906772971153259,0.7476828098297119,0.14285945892333984,0.15293826162815094,0.466277539730072,0.7653729915618896,-0.014202098362147808,0.5541560053825378,0.46640095114707947,0.7561600804328918,0.11171963065862656,0.1391436904668808
5,0.4553127884864807,0.46353578567504883,-0.05942041799426079,0.999787449836731,0.4531763195991516,0.45733723044395447,-0.0716099813580513,0.9997057914733887,0.4534200131893158,0.45612484216690063,-0.07171139121055603,0.9996650815010071,0.4536331593990326,0.45511043071746826,-0.07167798280715942,0.9998112916946411,0.4532221257686615,0.45768821239471436,-0.055367548018693924,0.9997792840003967,0.45345139503479004,0.45669814944267273,-0.05546824261546135,0.9997939467430115,0.4536204934120178,0.4557415544986725,-0.05550290271639824,0.9998621940612793,0.4579373300075531,0.4460517168045044,-0.10060840845108032,0.9997813701629639,0.45777425169944763,0.44650179147720337,-0.0266865286976099,0.9994727969169617,0.4601384103298187,0.4638705849647522,-0.06649219244718552,0.9997484683990479,0.46021944284439087,0.46374133229255676,-0.04584977775812149,0.999573290348053,0.47671207785606384,0.4694889187812805,-0.13421782851219177,0.9999943375587463,0.48004966974258423,0.4643475413322449,0.03616974502801895,0.9998707175254822,0.4843023717403412,0.5307517647743225,-0.15321849286556244,0.9580696225166321,0.4899775981903076,0.5268953442573547,0.05768438056111336,0.004310477990657091,0.48051294684410095,0.5849485397338867,-0.13340437412261963,0.7434129118919373,0.48853054642677307,0.575593888759613,0.019951127469539642,0.012586720287799835,0.4802567958831787,0.6000753045082092,-0.14651618897914886,0.6272608041763306,0.48810824751853943,0.5883650183677673,0.01710132136940956,0.016430722549557686,0.4787966310977936,0.5998014807701111,-0.144237220287323,0.6069340109825134,0.48595762252807617,0.5893411636352539,0.002465979428961873,0.017477115616202354,0.4793364405632019,0.5948892831802368,-0.13093198835849762,0.46955251693725586,0.485781729221344,0.5852035880088806,0.01179644837975502,0.01821143552660942,0.49861979484558105,0.5784279108047485,-0.05177997797727585,0.9999121427536011,0.4990294873714447,0.5736768245697021,0.05176324397325516,0.9998795986175537,0.48894304037094116,0.6574425101280212,-0.01766088604927063,0.5641105771064758,0.48785310983657837,0.6519057154655457,0.09159699827432632,0.034179940819740295,0.4889330267906189,0.7444239854812622,0.013942425139248371,0.6174740791320801,0.48666810989379883,0.7318986058235168,0.13872162997722626,0.09974806010723114,0.4945414960384369,0.7606144547462463,0.014345129020512104,0.5619213581085205,0.4910162389278412,0.747254490852356,0.14155666530132294,0.17714492976665497,0.4664190709590912,0.7657217383384705,-0.030565068125724792,0.593986451625824,0.46635693311691284,0.7550132870674133,0.11128238588571548,0.17242927849292755
6,0.45490485429763794,0.465616911649704,-0.060389984399080276,0.999803900718689,0.45251041650772095,0.46030786633491516,-0.07248876243829727,0.9997302293777466,0.4527463912963867,0.45907843112945557,-0.07258414477109909,0.9996931552886963,0.4529586434364319,0.4580342471599579,-0.07255055755376816,0.9998271465301514,0.4525611400604248,0.46069544553756714,-0.05645526200532913,0.9997960329055786,0.45279616117477417,0.45964348316192627,-0.05655466392636299,0.9998084902763367,0.4529961943626404,0.4585554301738739,-0.05658819153904915,0.9998712539672852,0.457559734582901,0.4481409788131714,-0.10095240920782089,0.9998003244400024,0.4572782516479492,0.4485989511013031,-0.02784127928316593,0.9995054602622986,0.45984697341918945,0.46566271781921387,-0.06718207895755768,0.9997661113739014,0.45982837677001953,0.46536535024642944,-0.04676211252808571,0.999596118927002,0.4767085611820221,0.4706573486328125,-0.13233767449855804,0.999994695186615,0.4800175130367279,0.4659202992916107,0.033903054893016815,0.9998676180839539,0.484255313873291,0.5306131839752197,-0.15141424536705017,0.9609859585762024,0.4903573989868164,0.5284480452537537,0.05432593822479248,0.004083951469510794,0.4805169999599457,0.5850979089736938,-0.1322261244058609,0.7607033252716064,0.4887720048427582,0.5767797231674194,0.01774699240922928,0.011809872463345528,0.4804159998893738,0.6005480289459229,-0.14489059150218964,0.648176908493042,0.4885953962802887,0.5903208255767822,0.015069899149239063,0.015556382946670055,0.4789268374443054,0.6003444790840149,-0.14287728071212769,0.629202127456665,0.48623210191726685,0.5908423662185669,0.0008423250983469188,0.016537755727767944,0.4793347418308258,0.5955668687820435,-0.12989571690559387,0.4931628406047821,0.4860774576663971,0.5863867998123169,0.009870294481515884,0.017209229990839958,0.49682408571243286,0.5791513919830322,-0.05148615688085556,0.9999164938926697,0.49755245447158813,0.5747060775756836,0.051463533192873,0.9998816847801208,0.48895007371902466,0.6570526361465454,-0.02200671099126339,0.5946957468986511,0.4879174828529358,0.6527326107025146,0.0864749550819397,0.03665478155016899,0.48892855644226074,0.7443914413452148,0.00489790178835392,0.6515392065048218,0.48673510551452637,0.732053816318512,0.1331602782011032,0.11785490065813065,0.4943658709526062,0.7608335614204407,0.004841422662138939,0.5942070484161377,0.49117588996887207,0.7476306557655334,0.13604341447353363,0.20120151340961456,0.46640944480895996,0.7657525539398193,-0.0399617925286293,0.6298050880432129,0.4663889408111572,0.7538461685180664,0.10708928108215332,0.20152539014816284
7,0.4548088610172272,0.4670466482639313,-0.06820468604564667,0.9998199343681335,0.45219331979751587,0.46173930168151855,-0.08062078058719635,0.9997535347938538,0.45244187116622925,0.46046680212020874,-0.08071611821651459,0.99972003698349,0.45265617966651917,0.459284245967865,-0.0806838721036911,0.9998422861099243,0.45219582319259644,0.46227920055389404,-0.06423143297433853,0.9998122453689575,0.4524116516113281,0.4613412618637085,-0.06432722508907318,0.9998229742050171,0.4525933265686035,0.4603930711746216,-0.06435839831829071,0.9998801946640015,0.4573608338832855,0.4488840699195862,-0.10881391912698746,0.9998183250427246,0.4569229185581207,0.4503118693828583,-0.03380754217505455,0.9995388984680176,0.45985251665115356,0.46665158867836,-0.07478161156177521,0.999783992767334,0.45981135964393616,0.4665226936340332,-0.05381172150373459,0.9996206760406494,0.47677716612815857,0.4709509611129761,-0.1386936455965042,0.9999951124191284,0.4799979627132416,0.4672689735889435,0.030975323170423508,0.9998664259910583,0.4840330481529236,0.530541181564331,-0.16115549206733704,0.9641281962394714,0.49034446477890015,0.5289430618286133,0.05353117734193802,0.0038699095603078604,0.48068442940711975,0.5849288702011108,-0.14787279069423676,0.779477596282959,0.48866987228393555,0.5774732232093811,0.01759639009833336,0.011072744615375996,0.48073792457580566,0.6004936099052429,-0.16163179278373718,0.6727318167686462,0.48853692412376404,0.5913170576095581,0.015207020565867424,0.014761473052203655,0.47913843393325806,0.6004058122634888,-0.15990205109119415,0.6551921367645264,0.4861634373664856,0.5918256044387817,0.0006386061431840062,0.015683332458138466,0.4793775975704193,0.5956987738609314,-0.14578038454055786,0.5229552388191223,0.4860561490058899,0.587267279624939,0.009657170623540878,0.01631047949194908,0.4970458149909973,0.579014778137207,-0.052136290818452835,0.9999211430549622,0.4962759017944336,0.5745635032653809,0.05210968106985092,0.9998840093612671,0.4890635907649994,0.6555521488189697,-0.03052370250225067,0.6287240982055664,0.48777681589126587,0.6518064141273499,0.08697371184825897,0.04085219278931618,0.48892855644226074,0.74434494972229,-0.015401345677673817,0.6847609877586365,0.48606985807418823,0.7325747013092041,0.13031873106956482,0.14541976153850555,0.4942905008792877,0.7608330845832825,-0.016940075904130936,0.6291517019271851,0.49034881591796875,0.7479244470596313,0.13272662460803986,0.2359515130519867,0.466630220413208,0.7662820816040039,-0.06621348112821579,0.6649177670478821,0.4662902355194092,0.752896785736084,0.1035151258111,0.24065765738487244
8,0.4543097913265228,0.46929970383644104,-0.06737761199474335,0.9998342990875244,0.451458215713501,0.4638611674308777,-0.07982869446277618,0.9997743964195251,0.4516724646091461,0.46264687180519104,-0.07992072403430939,0.9997439980506897,0.4518123269081116,0.46153953671455383,-0.07988958060741425,0.9998557567596436,0.45155173540115356,0.46424323320388794,-0.06328696012496948,0.9998266696929932,0.4518095850944519,0.46325767040252686,-0.06338565051555634,0.999835729598999,0.45200982689857483,0.4622878134250641,-0.06341889500617981,0.9998880624771118,0.4562598168849945,0.45175430178642273,-0.10862024873495102,0.9998344779014587,0.45631033182144165,0.45240816473960876,-0.03297607973217964,0.9995687007904053,0.4597090184688568,0.4686569273471832,-0.07414228469133377,0.999799907207489,0.4595607817173004,0.4683109223842621,-0.052979640662670135,0.9996426105499268,0.47676095366477966,0.47254469990730286,-0.13696780800819397,0.9999954104423523,0.4797295928001404,0.4689207375049591,0.029993336647748947,0.999866783618927,0.483823299407959,0.5309616327285767,-0.15801534056663513,0.9666553139686584,0.4902978539466858,0.5301626920700073,0.05278709530830383,0.0037753554061055183,0.48096197843551636,0.5854238271713257,-0.1418934464454651,0.7947685718536377,0.48844194412231445,0.5789377689361572,0.0186920203268528,0.010610346682369709,0.48112425208091736,0.6010371446609497,-0.15468472242355347,0.692219614982605,0.4884530007839203,0.5925149321556091,0.01647244393825531,0.014318057335913181,0.47945553064346313,0.6014836430549622,-0.1528594195842743,0.6757920980453491,0.48610663414001465,0.593250572681427,0.002316778991371393,0.01518244855105877,0.4795377254486084,0.596554696559906,-0.13966377079486847,0.545415997505188,0.4860199987888336,0.5888484716415405,0.010949172079563141,0.015799906104803085,0.4975184500217438,0.5809201598167419,-0.051864467561244965,0.9999244809150696,0.4967227876186371,0.5760566592216492,0.051832932978868484,0.999886155128479,0.48935121297836304,0.655295729637146,-0.02664698101580143,0.6589774489402771,0.4879510998725891,0.6523408889770508,0.08342378586530685,0.05320267006754875,0.4889509081840515,0.7443150877952576,0.0008421852253377438,0.7141916751861572,0.48606055974960327,0.7349459528923035,0.12901851534843445,0.18430693447589874,0.49421563744544983,0.7608464360237122,0.0007323257741518319,0.658068835735321,0.49019259214401245,0.7509581446647644,0.13179327547550201,0.2746465802192688,0.46685895323753357,0.7662723064422607,-0.04465072974562645,0.6956135034561157,0.4662901759147644,0.753305196762085,0.10357624292373657,0.2841559946537018
9,0.45376238226890564,0.47125324606895447,-0.06067485734820366,0.9998480081558228,0.4507976174354553,0.4655888080596924,-0.07291240245103836,0.9997938275337219,0.45101919770240784,0.46438831090927124,-0.07299882918596268,0.9997661709785461,0.4511444568634033,0.46331167221069336,-0.07296451181173325,0.9998681545257568,0.45091843605041504,0.46583494544029236,-0.056698281317949295,0.9998406171798706,0.4512198865413666,0.4647842347621918,-0.05679798871278763,0.9998483061790466,0.4514443278312683,0.4637851417064667,-0.05683073401451111,0.9998960494995117,0.45541009306907654,0.4537353813648224,-0.10169196128845215,0.9998492002487183,0.45578622817993164,0.4538835883140564,-0.027615394443273544,0.999599814414978,0.4592490792274475,0.4703175127506256,-0.06746967881917953,0.9998143911361694,0.45904916524887085,0.4699088931083679,-0.046753544360399246,0.9996639490127563,0.4766000807285309,0.4734683036804199,-0.1318560093641281,0.9999956488609314,0.4795082211494446,0.47004127502441406,0.032357875257730484,0.99986732006073,0.4836089015007019,0.5313984751701355,-0.15252766013145447,0.9690247774124146,0.4902684688568115,0.5310319662094116,0.052751727402210236,0.003706730902194977,0.48106855154037476,0.586249589920044,-0.1320377141237259,0.8083209991455078,0.4883866310119629,0.5801550149917603,0.019780943170189857,0.010222810320556164,0.481279194355011,0.6014048457145691,-0.14195941388607025,0.7094500660896301,0.48843297362327576,0.593430757522583,0.017758522182703018,0.013943028636276722,0.47962576150894165,0.6020029783248901,-0.14152126014232635,0.6940411329269409,0.48618775606155396,0.5941666960716248,0.004248065873980522,0.01474766805768013,0.47966185212135315,0.5971324443817139,-0.13056793808937073,0.5658679008483887,0.4860605299472809,0.5899432301521301,0.012356720864772797,0.015370653010904789,0.49757474660873413,0.5811145305633545,-0.05062306672334671,0.9999268651008606,0.49750447273254395,0.5760031938552856,0.050589419901371,0.999887228012085,0.4896140694618225,0.6552647948265076,-0.024148371070623398,0.6873244643211365,0.48807114362716675,0.6521372199058533,0.08005538582801819,0.06489180028438568,0.488952100276947,0.7443827390670776,0.0018510930240154266,0.7410127520561218,0.4859796464443207,0.7363973259925842,0.12222249805927277,0.22174906730651855,0.49407705664634705,0.7608597874641418,0.0016508192056789994,0.6856281757354736,0.4899502396583557,0.7521596550941467,0.12467827647924423,0.311489999294281,0.466998815536499,0.7662467956542969,-0.04176823049783707,0.7236014008522034,0.46616822481155396,0.7534408569335938,0.09694232791662216,0.32505834102630615
10,0.4531857967376709,0.47207319736480713,-0.05849618464708328,0.9998599290847778,0.4501686990261078,0.4661844074726105,-0.07073003798723221,0.9998106956481934,0.45042309165000916,0.46498367190361023,-0.07081608474254608,0.9997854232788086,0.45057401061058044,0.4638938009738922,-0.07078275829553604,0.9998789429664612,0.45028114318847656,0.4663805365562439,-0.05435089021921158,0.9998523592948914,0.4506239891052246,0.46534308791160583,-0.054448582231998444,0.9998587369918823,0.4508807063102722,0.4643499553203583,-0.05448046326637268,0.9999025464057922,0.45486927032470703,0.45437341928482056,-0.09979487955570221,0.9998621940612793,0.45529502630233765,0.4545675814151764,-0.02498566173017025,0.9996247887611389,0.45861902832984924,0.471124529838562,-0.06542263180017471,0.9998269081115723,0.4584583342075348,0.4708292782306671,-0.04449402168393135,0.9996814131736755,0.4765264093875885,0.4737858176231384,-0.12978923320770264,0.9999958872795105,0.4789309501647949,0.47079047560691833,0.034947700798511505,0.9998670816421509,0.4835202097892761,0.5315602421760559,-0.1516924500465393,0.971189558506012,0.49006909132003784,0.5316997766494751,0.05550497770309448,0.0036325480323284864,0.48118606209754944,0.5873716473579407,-0.13123071193695068,0.8208026885986328,0.4883677065372467,0.5813094973564148,0.022191200405359268,0.009809117764234543,0.4814882278442383,0.6023997068405151,-0.14192719757556915,0.7252036929130554,0.48840540647506714,0.5944408178329468,0.02013150416314602,0.013498700223863125,0.4798468053340912,0.6031137108802795,-0.14091123640537262,0.7106544971466064,0.48616108298301697,0.5951111912727356,0.006435592658817768,0.01424728985875845,0.4798031747341156,0.5981448292732239,-0.12921909987926483,0.5842174887657166,0.48604917526245117,0.5908775925636292,0.014661213383078575,0.014880456030368805,0.4976208209991455,0.5809723734855652,-0.05044006556272507,0.9999293088912964,0.4978533685207367,0.5760914087295532,0.05040574073791504,0.9998887777328491,0.48979243636131287,0.6557866334915161,-0.02150098606944084,0.7116268277168274,0.48843756318092346,0.6529356837272644,0.07915670424699783,0.0745009258389473,0.48895445466041565,0.7446828484535217,0.007987083867192268,0.7647582292556763,0.4860389828681946,0.7372385859489441,0.1216854453086853,0.2534167170524597,0.4939151704311371,0.7609041929244995,0.008148180320858955,0.709209144115448,0.4899967312812805,0.7529670596122742,0.12414302676916122,0.3426300883293152,0.4670138955116272,0.766223669052124,-0.034540805965662,0.7482425570487976,0.46615180373191833,0.7535793781280518,0.09626417607069016,0.3599053621292114
